model_type,bldgname,y,preprocessing_method,n_features,time_step,rmse,mae,r2,model_file
ensembles,Stadium,present_elec_kwh,prophet,7,24,74.46611934094979,64.11260336782601,0.16705140717622047,./models/ensembles/stadium_present_elec_kwh_prophet_7_24.pkl
solos,Stadium,present_elec_kwh,linear regression,1,1,51.3840957419174,38.29557305160877,0.5957112475912121,./models/solos/stadium_present_elec_kwh_linear_regression_1_1.pkl
solos,Stadium,present_elec_kwh,linear regression,1,8,35.79144346345605,22.69453666951306,0.8039190625325445,./models/solos/stadium_present_elec_kwh_linear_regression_1_8.pkl
solos,Stadium,present_elec_kwh,linear regression,1,12,34.447064400581716,21.74819656014833,0.8184297750477905,./models/solos/stadium_present_elec_kwh_linear_regression_1_12.pkl
solos,Stadium,present_elec_kwh,linear regression,1,24,33.75028171828726,20.92074190313929,0.8257804035511696,./models/solos/stadium_present_elec_kwh_linear_regression_1_24.pkl
solos,Stadium,present_elec_kwh,linear regression,2,1,51.045677914497766,37.97791213404575,0.6010190368200836,./models/solos/stadium_present_elec_kwh_linear_regression_2_1.pkl
solos,Stadium,present_elec_kwh,linear regression,2,8,38.33208821528633,23.929236501029678,0.7750935529093358,./models/solos/stadium_present_elec_kwh_linear_regression_2_8.pkl
solos,Stadium,present_elec_kwh,linear regression,2,12,34.18141829683013,21.408305887949474,0.8212194143006235,./models/solos/stadium_present_elec_kwh_linear_regression_2_12.pkl
solos,Stadium,present_elec_kwh,linear regression,2,24,32.960733045591184,20.26643055395589,0.8338363886368917,./models/solos/stadium_present_elec_kwh_linear_regression_2_24.pkl
solos,Stadium,present_elec_kwh,linear regression,3,1,50.71000287152154,37.70765446238686,0.6062491602726884,./models/solos/stadium_present_elec_kwh_linear_regression_3_1.pkl
solos,Stadium,present_elec_kwh,linear regression,3,8,35.176987686018066,22.07709724042716,0.8105937784097239,./models/solos/stadium_present_elec_kwh_linear_regression_3_8.pkl
solos,Stadium,present_elec_kwh,linear regression,3,12,34.56904719946795,21.713077596056465,0.817141557297614,./models/solos/stadium_present_elec_kwh_linear_regression_3_12.pkl
solos,Stadium,present_elec_kwh,linear regression,3,24,33.71777127290257,21.135612380403128,0.8261158809719857,./models/solos/stadium_present_elec_kwh_linear_regression_3_24.pkl
solos,Stadium,present_elec_kwh,linear regression,4,1,50.0595656686929,36.86071267589848,0.616285353062067,./models/solos/stadium_present_elec_kwh_linear_regression_4_1.pkl
solos,Stadium,present_elec_kwh,linear regression,4,8,35.45943402449713,22.35095460896544,0.8075399714054906,./models/solos/stadium_present_elec_kwh_linear_regression_4_8.pkl
solos,Stadium,present_elec_kwh,linear regression,4,12,73.88039365692896,62.30155313998509,0.16478439632468456,./models/solos/stadium_present_elec_kwh_linear_regression_4_12.pkl
solos,Stadium,present_elec_kwh,linear regression,4,24,33.279289765180756,20.818772830825843,0.8306090135470018,./models/solos/stadium_present_elec_kwh_linear_regression_4_24.pkl
solos,Stadium,present_elec_kwh,linear regression,5,1,50.31738816654926,36.99691674916763,0.6123226726671206,./models/solos/stadium_present_elec_kwh_linear_regression_5_1.pkl
solos,Stadium,present_elec_kwh,linear regression,5,8,35.569707253526,22.486510170530124,0.8063410696307506,./models/solos/stadium_present_elec_kwh_linear_regression_5_8.pkl
solos,Stadium,present_elec_kwh,linear regression,5,12,34.13360212692554,21.255647763740875,0.8217192545058495,./models/solos/stadium_present_elec_kwh_linear_regression_5_12.pkl
solos,Stadium,present_elec_kwh,linear regression,5,24,33.02414442897952,20.808379939082492,0.833196427146225,./models/solos/stadium_present_elec_kwh_linear_regression_5_24.pkl
solos,Stadium,present_elec_kwh,linear regression,6,1,50.368974296292095,36.941916495461264,0.6115273601457853,./models/solos/stadium_present_elec_kwh_linear_regression_6_1.pkl
solos,Stadium,present_elec_kwh,linear regression,6,8,73.87194475372047,62.36553167046224,0.1647124430257928,./models/solos/stadium_present_elec_kwh_linear_regression_6_8.pkl
solos,Stadium,present_elec_kwh,linear regression,6,12,33.97792200101928,20.994052101292077,0.8233417891194719,./models/solos/stadium_present_elec_kwh_linear_regression_6_12.pkl
solos,Stadium,present_elec_kwh,linear regression,6,24,34.82853883331241,22.349767024304345,0.8144706134979409,./models/solos/stadium_present_elec_kwh_linear_regression_6_24.pkl
solos,Stadium,present_elec_kwh,linear regression,7,1,49.01878067914917,35.9682703978391,0.6320750571938865,./models/solos/stadium_present_elec_kwh_linear_regression_7_1.pkl
solos,Stadium,present_elec_kwh,linear regression,7,8,73.87194475372047,62.36553167046224,0.1647124430257928,./models/solos/stadium_present_elec_kwh_linear_regression_7_8.pkl
solos,Stadium,present_elec_kwh,linear regression,7,12,73.88039365692896,62.30155313998509,0.16478439632468456,./models/solos/stadium_present_elec_kwh_linear_regression_7_12.pkl
solos,Stadium,present_elec_kwh,linear regression,7,24,33.11082930565412,21.006640594037414,0.8323195944822199,./models/solos/stadium_present_elec_kwh_linear_regression_7_24.pkl
solos,Stadium,present_elec_kwh,linear interpolation,1,1,49.82276984260261,38.60203365278857,0.6477846038916535,./models/solos/stadium_present_elec_kwh_linear_interpolation_1_1.pkl
solos,Stadium,present_elec_kwh,linear interpolation,1,8,31.991465418393254,20.90137667734428,0.8548466863172395,./models/solos/stadium_present_elec_kwh_linear_interpolation_1_8.pkl
solos,Stadium,present_elec_kwh,linear interpolation,1,12,32.84389842843396,21.112573879928203,0.8470615997661135,./models/solos/stadium_present_elec_kwh_linear_interpolation_1_12.pkl
solos,Stadium,present_elec_kwh,linear interpolation,1,24,29.62682175193937,18.93526160814473,0.8756294197817607,./models/solos/stadium_present_elec_kwh_linear_interpolation_1_24.pkl
solos,Stadium,present_elec_kwh,linear interpolation,2,1,50.44716548789972,38.16451044381896,0.6389011224302839,./models/solos/stadium_present_elec_kwh_linear_interpolation_2_1.pkl
solos,Stadium,present_elec_kwh,linear interpolation,2,8,30.82242164433311,19.091961013638812,0.8652613471049767,./models/solos/stadium_present_elec_kwh_linear_interpolation_2_8.pkl
solos,Stadium,present_elec_kwh,linear interpolation,2,12,30.488423405843353,18.98140351097363,0.8682116330763018,./models/solos/stadium_present_elec_kwh_linear_interpolation_2_12.pkl
solos,Stadium,present_elec_kwh,linear interpolation,2,24,30.11284615004956,19.296793170291195,0.8715153807630487,./models/solos/stadium_present_elec_kwh_linear_interpolation_2_24.pkl
solos,Stadium,present_elec_kwh,linear interpolation,3,1,50.38788138866005,38.006808839203565,0.6397493303636478,./models/solos/stadium_present_elec_kwh_linear_interpolation_3_1.pkl
solos,Stadium,present_elec_kwh,linear interpolation,3,8,30.82242164433311,19.091961013638812,0.8652613471049767,./models/solos/stadium_present_elec_kwh_linear_interpolation_3_8.pkl
solos,Stadium,present_elec_kwh,linear interpolation,3,12,30.488423405843353,18.98140351097363,0.8682116330763018,./models/solos/stadium_present_elec_kwh_linear_interpolation_3_12.pkl
solos,Stadium,present_elec_kwh,linear interpolation,3,24,30.11284615004956,19.296793170291195,0.8715153807630487,./models/solos/stadium_present_elec_kwh_linear_interpolation_3_24.pkl
