model_type,bldgname,y_column,imputation_method,feature_method,n_feature,updated_n_feature,time_step,datelevel,rmse,mae,mape,model_file,model_data_path,building_file
solos,Biological Sciences,present_chll_tonhr,linear_interpolation,rfecv,3,3,30,day,47.84018398701358,35.00690075177293,0.3320289226256281,./models/solos/Biological_Sciences_Data_Extended_present_chll_tonhr_linear_interpolation_rfecv_3_3_30_day,./models/tmp/Biological_Sciences_Data_Extended_present_chll_tonhr_linear_interpolation,Biological_Sciences_Data_Extended.csv
xgboost,WTBC,present_elec_kwh,prophet,rfecv,5,1,30,day,143.95419529820646,103.55706453317666,0.08847712837791909,./models/xgboost/WTBC_Data_Extended_present_elec_kwh_prophet_rfecv_5_1_30_day,./models/tmp/WTBC_Data_Extended_present_elec_kwh_prophet,WTBC_Data_Extended.csv
xgboost,Coe Library,present_elec_kwh,linear_regression,lassocv,6,6,30,day,533.8586047639916,344.09634899713774,0.0508114809258205,./models/xgboost/Coe_Library_Data_Extended_present_elec_kwh_linear_regression_lassocv_6_6_30_day,./models/tmp/Coe_Library_Data_Extended_present_elec_kwh_linear_regression,Coe_Library_Data_Extended.csv
xgboost,Old Main,present_elec_kwh,prophet,lassocv,6,6,30,day,111.54634391578462,92.1183663390364,0.24484319041755612,./models/xgboost/Old_Main_Data_Extended_present_elec_kwh_prophet_lassocv_6_6_30_day,./models/tmp/Old_Main_Data_Extended_present_elec_kwh_prophet,Old_Main_Data_Extended.csv
solos,Physical Science,present_chll_tonhr,linear_interpolation,lassocv,2,2,30,day,112.95795349580797,79.67659819852135,1.0034954908362919,./models/solos/Physical_Science_Data_Extended_present_chll_tonhr_linear_interpolation_lassocv_2_2_30_day,./models/tmp/Physical_Science_Data_Extended_present_chll_tonhr_linear_interpolation,Physical_Science_Data_Extended.csv
ensembles,Energy Innovation Center,present_chll_tonhr,linear_interpolation,lassocv,4,1,30,day,3.0349447192098653,2.283615631704501,0.1789900489142633,./models/ensembles/Energy_Innovation_Center_Data_Extended_present_chll_tonhr_linear_interpolation_lassocv_4_1_30_day,./models/tmp/Energy_Innovation_Center_Data_Extended_present_chll_tonhr_linear_interpolation,Energy_Innovation_Center_Data_Extended.csv
solos,Aven Nelson,present_elec_kwh,prophet,rfecv,5,2,30,day,84.86653521015103,67.98259157532627,0.18422171094584325,./models/solos/Aven_Nelson_Data_Extended_present_elec_kwh_prophet_rfecv_5_2_30_day,./models/tmp/Aven_Nelson_Data_Extended_present_elec_kwh_prophet,Aven_Nelson_Data_Extended.csv
ensembles,Enzi-STEM,present_elec_kwh,lstm,rfecv,1,1,30,day,350.8218416602227,255.55809888195407,0.06929286336136924,./models/ensembles/Enzi-STEM_Data_Extended_present_elec_kwh_lstm_rfecv_1_1_30_day,./models/tmp/Enzi-STEM_Data_Extended_present_elec_kwh_lstm,Enzi-STEM_Data_Extended.csv
ensembles,Information Technology,present_elec_kwh,prophet,rfecv,2,2,30,day,828.1118364534963,610.570353657233,0.06692897543806622,./models/ensembles/Information_Technology_Data_Extended_present_elec_kwh_prophet_rfecv_2_2_30_day,./models/tmp/Information_Technology_Data_Extended_present_elec_kwh_prophet,Information_Technology_Data_Extended.csv
solos,Indoor Practice Facility,present_elec_kwh,lstm,rfecv,2,2,30,day,201.27593096347556,155.6113280813927,0.29410012185003237,./models/solos/Indoor_Practice_Facility_Data_Extended_present_elec_kwh_lstm_rfecv_2_2_30_day,./models/tmp/Indoor_Practice_Facility_Data_Extended_present_elec_kwh_lstm,Indoor_Practice_Facility_Data_Extended.csv
solos,Physical Science,present_chll_tonhr,linear_regression,rfecv,6,4,30,day,71.20006589349529,53.06697775024017,0.6517344061994702,./models/solos/Physical_Science_Data_Extended_present_chll_tonhr_linear_regression_rfecv_6_4_30_day,./models/tmp/Physical_Science_Data_Extended_present_chll_tonhr_linear_regression,Physical_Science_Data_Extended.csv
ensembles,WTBC,present_elec_kwh,prophet,rfecv,2,1,30,day,135.5448899648057,97.7298267688643,0.08385001104239173,./models/ensembles/WTBC_Data_Extended_present_elec_kwh_prophet_rfecv_2_1_30_day,./models/tmp/WTBC_Data_Extended_present_elec_kwh_prophet,WTBC_Data_Extended.csv
